Sum of MaleCount,Column Labels,,,,,,,
Row Labels,Aneurin Bevan,Betsi Cadwaladr Uni,Cardiff And Vale Uni,Cwm Taf Morgannwg UHB,Hywel Dda,Powys Teaching,Swansea Bay UHB,Grand Total
0,16911,17865,13480,12444,8755,3050,8988,81493
1,19196,19946,15320,14156,10095,3473,10763,92949
2,19738,20854,16459,14975,10722,3922,11734,98404
3,20320,21684,16909,15422,11252,3955,11853,101395
4,20828,22160,17591,15684,11777,3851,12376,104267
5,21443,22302,17973,15846,12237,4003,12629,106433
6,21488,23130,18216,16203,12153,4215,12787,108192
7,21765,23707,18792,16354,12397,4272,12854,110141
8,22043,24493,19072,16517,13093,4278,13704,113200
9,22171,24496,19474,17384,13162,4341,14062,115090
10,22386,25233,19288,17173,13348,4292,13842,115562
11,22459,25266,18968,16890,12890,4449,13407,114329
12,22796,24916,19089,17133,13115,4676,13765,115490
13,21456,24511,18587,16751,13259,4539,13582,112685
14,20790,24156,17679,16335,13170,4436,13210,109776
15,20936,23827,16789,16234,12905,4617,13011,108319
16,21305,23845,16301,15589,12613,4537,12854,107044
17,20559,22960,16718,15317,12443,4318,12593,104908
18,19338,21981,17886,14585,12754,4312,12338,103194
19,18706,21410,22015,14527,13359,4011,14164,108192
20,19171,21830,24182,14684,13489,3958,16108,113422
21,19335,22683,24429,15358,13911,4023,17205,116944
22,19981,23438,24371,16277,13898,4186,17228,119379
23,21342,23588,25116,17228,13927,4243,16554,121998
24,21833,23443,25102,16804,13505,4266,16221,121174
25,21915,23193,24536,16443,13146,4097,15224,118554
26,22536,23795,24430,16986,13180,4108,14924,119959
27,23427,24174,24567,17548,13199,4283,15796,122994
28,24333,25005,24550,17815,13758,4299,16086,125846
29,25518,25887,24376,18051,13934,4489,16060,128315
30,25129,25959,24419,19128,13709,4527,16471,129342
31,25095,26080,24011,19255,13583,4430,15926,128380
32,25454,26518,24445,19040,13864,4470,15994,129785
33,25142,26165,24412,18963,13809,4355,16076,128922
34,25186,25218,24582,18880,13321,4266,16206,127659
35,25010,24994,24391,19022,13216,4358,16173,127164
36,24177,24833,24032,18878,13287,4252,15514,124973
37,23774,24432,24219,18316,13200,4166,15227,123334
38,23843,24630,23849,17833,13511,4246,15571,123483
39,23436,25222,23795,18418,13226,4438,15409,123944
40,24241,25462,24222,19008,13303,4485,15933,126654
41,23559,24840,23285,18261,13160,4267,15251,122623
42,21554,22912,21402,16622,12376,4154,14147,113167
43,21202,22211,20621,15648,11886,4041,13892,109501
44,21224,23258,20694,15884,12457,4103,14144,111764
45,21859,24034,20301,16633,13047,4417,14248,114539
46,22734,25361,20774,17017,13632,4808,14383,118709
47,25525,29492,21681,19437,15599,5604,15893,133231
48,25428,29478,20256,19862,14638,5354,15015,130031
49,26724,31033,20614,21004,15859,5769,16006,137009
50,26574,30995,20434,20534,15753,5641,15845,135776
51,27138,30913,20155,20147,16077,5871,16537,136838
52,27456,31221,20025,20416,16582,5878,16776,138354
53,26947,31226,20322,20269,16853,6125,16279,138021
54,27631,31768,19902,20646,17213,6418,16571,140149
55,28367,32406,20118,21072,17737,6735,17004,143439
56,28102,32634,20301,20764,18139,6880,17205,144025
57,27659,32267,19826,19728,18093,6643,16630,140846
58,26952,31662,19425,19513,17865,6674,16213,138304
59,25519,30575,18913,19515,17296,6638,15981,134437
60,24419,29818,18259,18049,16834,6525,15288,129192
61,23748,28312,17564,17263,16761,6315,14656,124619
62,23091,27519,16692,17266,16545,6044,14693,121850
63,22249,26682,16016,16602,16221,6089,14050,117909
64,20974,25936,15251,15770,15715,6339,13018,113003
65,19498,24794,14350,14706,15536,5973,12536,107393
66,19889,24756,14099,14784,15887,5898,12668,107981
67,20014,25039,13729,14933,15628,6091,12761,108195
68,19526,24310,13168,14487,15204,5975,12541,105211
69,19118,24224,12736,14726,14898,5821,11973,103496
70,19435,24864,12818,14602,15071,6089,12134,105013
71,19195,26225,13057,15007,15463,6111,12465,107523
72,19541,27337,12754,15486,15886,6333,12714,110051
73,20970,28397,13298,15358,16420,6531,13397,114371
74,18224,23878,11343,13575,14206,5541,11214,97981
75,15409,20004,9672,12005,12415,4690,9411,83606
76,15123,20225,9714,11497,12278,4945,9737,83519
77,14141,19037,8611,10457,11326,4748,9144,77464
78,12852,17119,7686,9445,10318,4104,8264,69788
79,11091,14718,6870,8564,8857,3367,7096,60563
80,10275,13637,6565,7866,8407,3222,6633,56605
81,10052,12892,6386,7140,7826,3198,6212,53706
82,9151,12027,5805,6600,6978,2872,5782,49215
83,7945,10886,5193,5861,6370,2560,5417,44232
84,7133,9684,4774,5039,5675,2365,4859,39529
85,6294,8409,4307,4551,5260,2075,4274,35170
86,5519,7422,3770,3821,4418,1783,3706,30439
87,4721,6288,3358,3145,3832,1361,3189,25894
88,3830,5247,2785,2720,3425,1213,2763,21983
89,3166,4484,2526,2302,2616,1078,2377,18549
90,2597,3788,2118,1833,2093,879,1840,15148
91,1954,3016,1609,1434,1732,736,1381,11862
92,1414,2407,1300,1148,1413,549,1126,9357
93,1149,1755,1028,825,1108,345,893,7103
94,902,1236,763,660,840,277,704,5382
Grand Total,1843275,2109949,1567665,1391953,1177199,417554,1179358,9686953
