"","practicecode","postcode","healthboard","ageband","malecount","femalecount","indeterminatecount","count","year","month","lsoa"
"1","W00005","CF83 4AZ","Aneurin Bevan",0,33,35,0,68,2020,"April","W01001331"
"2","W00005","CF83 4AZ","Aneurin Bevan",1,42,47,0,89,2020,"April","W01001331"
"3","W00005","CF83 4AZ","Aneurin Bevan",2,41,42,0,83,2020,"April","W01001331"
"4","W00005","CF83 4AZ","Aneurin Bevan",3,43,56,0,99,2020,"April","W01001331"
"5","W00005","CF83 4AZ","Aneurin Bevan",4,36,56,0,92,2020,"April","W01001331"
"6","W00005","CF83 4AZ","Aneurin Bevan",5,51,48,0,99,2020,"April","W01001331"
"7","W00005","CF83 4AZ","Aneurin Bevan",6,42,43,0,85,2020,"April","W01001331"
"8","W00005","CF83 4AZ","Aneurin Bevan",7,50,42,0,92,2020,"April","W01001331"
"9","W00005","CF83 4AZ","Aneurin Bevan",8,50,38,0,88,2020,"April","W01001331"
"10","W00005","CF83 4AZ","Aneurin Bevan",9,54,38,0,92,2020,"April","W01001331"
"11","W00005","CF83 4AZ","Aneurin Bevan",10,56,52,0,108,2020,"April","W01001331"
"12","W00005","CF83 4AZ","Aneurin Bevan",11,58,40,0,98,2020,"April","W01001331"
"13","W00005","CF83 4AZ","Aneurin Bevan",12,48,39,0,87,2020,"April","W01001331"
"14","W00005","CF83 4AZ","Aneurin Bevan",13,38,44,0,82,2020,"April","W01001331"
"15","W00005","CF83 4AZ","Aneurin Bevan",14,55,52,0,107,2020,"April","W01001331"
"16","W00005","CF83 4AZ","Aneurin Bevan",15,62,53,0,115,2020,"April","W01001331"
"17","W00005","CF83 4AZ","Aneurin Bevan",16,45,46,0,91,2020,"April","W01001331"
"18","W00005","CF83 4AZ","Aneurin Bevan",17,50,51,0,101,2020,"April","W01001331"
"19","W00005","CF83 4AZ","Aneurin Bevan",18,29,34,0,63,2020,"April","W01001331"
"20","W00005","CF83 4AZ","Aneurin Bevan",19,44,33,0,77,2020,"April","W01001331"
"21","W00005","CF83 4AZ","Aneurin Bevan",20,50,34,0,84,2020,"April","W01001331"
"22","W00005","CF83 4AZ","Aneurin Bevan",21,51,54,0,105,2020,"April","W01001331"
"23","W00005","CF83 4AZ","Aneurin Bevan",22,52,38,0,90,2020,"April","W01001331"
"24","W00005","CF83 4AZ","Aneurin Bevan",23,53,54,0,107,2020,"April","W01001331"
"25","W00005","CF83 4AZ","Aneurin Bevan",24,56,56,0,112,2020,"April","W01001331"
"26","W00005","CF83 4AZ","Aneurin Bevan",25,42,51,0,93,2020,"April","W01001331"
"27","W00005","CF83 4AZ","Aneurin Bevan",26,55,54,0,109,2020,"April","W01001331"
"28","W00005","CF83 4AZ","Aneurin Bevan",27,53,50,0,103,2020,"April","W01001331"
"29","W00005","CF83 4AZ","Aneurin Bevan",28,56,53,0,109,2020,"April","W01001331"
"30","W00005","CF83 4AZ","Aneurin Bevan",29,66,47,0,113,2020,"April","W01001331"
"31","W00005","CF83 4AZ","Aneurin Bevan",30,57,58,0,115,2020,"April","W01001331"
"32","W00005","CF83 4AZ","Aneurin Bevan",31,52,67,0,119,2020,"April","W01001331"
"33","W00005","CF83 4AZ","Aneurin Bevan",32,57,52,0,109,2020,"April","W01001331"
"34","W00005","CF83 4AZ","Aneurin Bevan",33,57,58,0,115,2020,"April","W01001331"
"35","W00005","CF83 4AZ","Aneurin Bevan",34,66,59,0,125,2020,"April","W01001331"
"36","W00005","CF83 4AZ","Aneurin Bevan",35,52,50,0,102,2020,"April","W01001331"
"37","W00005","CF83 4AZ","Aneurin Bevan",36,57,51,0,108,2020,"April","W01001331"
"38","W00005","CF83 4AZ","Aneurin Bevan",37,64,62,0,126,2020,"April","W01001331"
"39","W00005","CF83 4AZ","Aneurin Bevan",38,55,52,0,107,2020,"April","W01001331"
"40","W00005","CF83 4AZ","Aneurin Bevan",39,64,51,0,115,2020,"April","W01001331"
"41","W00005","CF83 4AZ","Aneurin Bevan",40,49,55,0,104,2020,"April","W01001331"
"42","W00005","CF83 4AZ","Aneurin Bevan",41,40,34,0,74,2020,"April","W01001331"
"43","W00005","CF83 4AZ","Aneurin Bevan",42,37,37,0,74,2020,"April","W01001331"
"44","W00005","CF83 4AZ","Aneurin Bevan",43,47,46,0,93,2020,"April","W01001331"
"45","W00005","CF83 4AZ","Aneurin Bevan",44,43,44,0,87,2020,"April","W01001331"
"46","W00005","CF83 4AZ","Aneurin Bevan",45,54,32,0,86,2020,"April","W01001331"
"47","W00005","CF83 4AZ","Aneurin Bevan",46,48,45,0,93,2020,"April","W01001331"
"48","W00005","CF83 4AZ","Aneurin Bevan",47,51,56,0,107,2020,"April","W01001331"
"49","W00005","CF83 4AZ","Aneurin Bevan",48,69,45,0,114,2020,"April","W01001331"
"50","W00005","CF83 4AZ","Aneurin Bevan",49,60,57,0,117,2020,"April","W01001331"
"51","W00005","CF83 4AZ","Aneurin Bevan",50,58,56,0,114,2020,"April","W01001331"
"52","W00005","CF83 4AZ","Aneurin Bevan",51,88,56,0,144,2020,"April","W01001331"
"53","W00005","CF83 4AZ","Aneurin Bevan",52,67,67,0,134,2020,"April","W01001331"
"54","W00005","CF83 4AZ","Aneurin Bevan",53,46,56,0,102,2020,"April","W01001331"
"55","W00005","CF83 4AZ","Aneurin Bevan",54,52,61,0,113,2020,"April","W01001331"
"56","W00005","CF83 4AZ","Aneurin Bevan",55,48,51,0,99,2020,"April","W01001331"
"57","W00005","CF83 4AZ","Aneurin Bevan",56,72,54,0,126,2020,"April","W01001331"
"58","W00005","CF83 4AZ","Aneurin Bevan",57,69,56,0,125,2020,"April","W01001331"
"59","W00005","CF83 4AZ","Aneurin Bevan",58,71,53,0,124,2020,"April","W01001331"
"60","W00005","CF83 4AZ","Aneurin Bevan",59,57,43,0,100,2020,"April","W01001331"
"61","W00005","CF83 4AZ","Aneurin Bevan",60,54,42,0,96,2020,"April","W01001331"
"62","W00005","CF83 4AZ","Aneurin Bevan",61,48,48,0,96,2020,"April","W01001331"
"63","W00005","CF83 4AZ","Aneurin Bevan",62,56,46,0,102,2020,"April","W01001331"
"64","W00005","CF83 4AZ","Aneurin Bevan",63,48,52,0,100,2020,"April","W01001331"
"65","W00005","CF83 4AZ","Aneurin Bevan",64,43,42,0,85,2020,"April","W01001331"
"66","W00005","CF83 4AZ","Aneurin Bevan",65,46,45,0,91,2020,"April","W01001331"
"67","W00005","CF83 4AZ","Aneurin Bevan",66,40,52,0,92,2020,"April","W01001331"
"68","W00005","CF83 4AZ","Aneurin Bevan",67,46,43,0,89,2020,"April","W01001331"
"69","W00005","CF83 4AZ","Aneurin Bevan",68,62,44,0,106,2020,"April","W01001331"
"70","W00005","CF83 4AZ","Aneurin Bevan",69,49,31,0,80,2020,"April","W01001331"
"71","W00005","CF83 4AZ","Aneurin Bevan",70,38,44,0,82,2020,"April","W01001331"
"72","W00005","CF83 4AZ","Aneurin Bevan",71,41,32,0,73,2020,"April","W01001331"
"73","W00005","CF83 4AZ","Aneurin Bevan",72,35,46,0,81,2020,"April","W01001331"
"74","W00005","CF83 4AZ","Aneurin Bevan",73,42,35,0,77,2020,"April","W01001331"
"75","W00005","CF83 4AZ","Aneurin Bevan",74,22,31,0,53,2020,"April","W01001331"
"76","W00005","CF83 4AZ","Aneurin Bevan",75,22,38,0,60,2020,"April","W01001331"
